words,2019
aa,1
aaah,1
aah,3
aaliya,1
aaliyah,1
aang,1
aaron,3
aashra,1
ab,2
abandoned,4
abdelkader,1
abducted,1
abeg,2
abel,1
abercrombie,2
abide,1
ability,2
able,3
aboard,1
abomination,2
abortion,1
abraca,3
abraham,1
absolute,1
abuela,1
ac,2
aca,1
acabar,1
accent,2
accept,1
access,4
accident,1
accion,1
accord,1
according,2
account,6
accountant,4
accumulatin,1
ace,3
acepto,2
acetaminophen,1
ache,3
achieving,1
achilles,3
aching,1
acid,3
acknowledge,2
acknowledged,2
acobardarme,1
acre,4
acrobat,1
across,9
act,41
actavis,4
actin,40
acting,15
action,5
active,3
activis,1
activist,1
activo,2
actor,1
actually,4
acute,1
acuvue,2
ad,3
adam,3
adat,1
add,4
added,1
adderall,2
addict,10
addicted,5
addiction,5
addictive,2
addin,2
adding,1
addy,11
adele,2
aderall,1
adhd,1
adiccion,1
adicta,1
adjacent,3
admiration,1
admission,2
admit,22
adobe,1
adoration,1
adore,9
adored,1
adores,2
adrenaline,1
adult,1
advance,8
advanced,1
advantage,1
adventure,2
advice,11
advise,1
advisor,1
aerobics,1
afar,1
affair,1
affect,2
afford,9
afraid,27
africa,4
afro,1
afterglow,1
afternoon,2
afterparty,4
age,8
aggressive,3
aglow,4
ago,13
agony,1
agree,4
agua,1
aguante,1
ah,118
ahead,10
ahh,13
ahhh,2
ahi,1
ahks,1
ahmed,1
ahold,1
ahora,3
ahorro,1
aid,5
aight,6
aim,10
aimin,5
aiming,1
aimless,1
air,45
airborne,1
airdrop,1
aire,1
airport,1
aisle,4
aja,1
ak,10
aki,3
akron,1
al,6
alarm,1
alarmed,1
album,11
alcohol,7
alcoholic,1
alegria,1
alert,1
alexa,2
alhamdulillah,1
ali,3
alibi,6
alice,1
alien,3
alight,4
align,5
alike,1
alive,37
alkaline,1
allen,1
allergic,2
alley,1
alligator,1
allocate,2
allow,1
allowance,2
allowed,1
allows,2
almighty,2
almond,2
almost,17
alo,1
aloca,1
alone,117
along,18
alpha,1
alphabetical,1
already,45
alright,68
also,4
altar,1
altercation,1
although,2
alto,1
always,132
amamos,1
amateur,1
amaze,1
amazin,4
amazing,5
amazon,1
ambiance,2
ambidex,1
ambiente,1
ambition,1
amen,2
amendment,2
amends,2
amenity,1
america,5
american,8
americana,1
amex,2
amidst,1
amiga,1
amiri,1
amiris,2
ammo,1
amo,4
amor,1
amore,2
amount,3
amphetamin,1
amphetamine,1
ana,1
analyst,1
analyze,1
ancestor,1
ancient,1
andamo,1
andamos,1
andele,1
ando,1
andre,1
andretti,1
andrew,1
ands,1
angel,28
angela,1
angeles,1
anger,1
angle,2
angry,5
animal,6
animosity,2
anitta,2
ankh,1
ankle,3
annoying,1
ano,1
another,94
answer,19
ant,1
antagonist,1
anthem,2
anti,1
antic,1
antidote,2
antidoto,1
antihistamine,1
antisocial,1
anunnaki,3
anus,1
anwar,1
anxiety,6
anxious,4
anybody,19
anymore,14
anyone,14
anything,43
anytime,7
anyway,9
anyweh,1
anywhere,12
ap,9
apart,29
apartment,8
ape,1
aperture,1
apiece,1
apologize,9
apologizing,1
apology,4
apostrophe,2
app,1
appeal,3
appear,3
appeared,3
appetite,2
apple,7
apply,2
appointed,2
appraisal,1
appraise,1
appreciating,2
apprentice,1
approach,2
aquella,1
aqui,4
ar,4
arabic,2
arc,2
arcade,1
arch,1
arched,1
archer,2
architect,1
architecture,1
arco,1
area,2
arff,1
argue,7
arguing,5
argument,4
ari,3
ariana,2
arie,1
arithmetic,1
arizona,2
arm,47
armadillo,1
armageddon,1
armed,2
armor,2
army,12
around,183
arrested,2
arriba,1
arrive,3
arrived,3
arriving,1
arrogance,1
arrogant,1
arrow,2
arse,1
arsonist,1
art,10
arthur,1
artie,1
artist,5
asap,2
ascension,1
ash,8
ashin,1
ashley,1
ashtray,3
asi,2
asia,1
aside,3
ask,60
asked,9
askin,13
asking,15
asleep,8
assed,1
asshole,4
assignment,1
assist,1
assistant,1
association,1
assumin,2
astaghfirullah,1
aston,1
astro,1
astronomical,1
astroworld,3
ataduras,1
atake,1
atari,1
ate,6
atencion,1
athlete,2
atl,1
atlanta,10
atlantic,1
atlas,1
atm,2
atmosphere,3
atrapa,1
atras,1
atta,1
attached,15
attachment,1
attack,5
attackin,3
attain,1
attend,1
attendant,1
attention,12
attic,2
attitude,8
attracted,4
attraction,2
attractive,1
attribute,1
au,1
auction,2
